code,current_code,announced_on,old_registry,new_registry,headline,classification,method,pdf_url
OVT,OVT,2026-08-10,Automic,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260810/pdf/072l6cxv7fr51s.pdf
HLS,HLS,2026-08-06,Computershare,MUFG Corporate Markets,Change of Share Registry Provider,provider_change,one_brand+prior_doc,https://announcements.asx.com.au/asxpdf/20260806/pdf/072hj1501rg1j0.pdf
ECS,ECS,2026-07-30,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20260730/pdf/07274j0tczfgf8.pdf
GHY,GHY,2026-07-27,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260727/pdf/07229ww0w5dp65.pdf
M79,M79,2026-07-17,Registry Direct,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260717/pdf/071t3m7qcv7klv.pdf
MRT,MRT,2026-07-17,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260717/pdf/071sprz9zjfq7k.pdf
BWN,BWN,2026-07-10,MUFG Corporate Markets,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260710/pdf/071ldjzplp5xj5.pdf
JIN,JIN,2026-07-06,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260706/pdf/071djdqhqqh6x0.pdf
RAP,RAP,2026-06-26,Boardroom,Xcend,Details of Share Registry address,address_only,cease_plus_one,https://announcements.asx.com.au/asxpdf/20260626/pdf/0711hnck6qthjb.pdf
WEB,WEB,2026-06-22,Computershare,Automic,Change of share registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260622/pdf/070vmcs398vscq.pdf
WSR,WSR,2026-06-22,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260622/pdf/070w5p66pqgp5c.pdf
AM3,AM3,2026-06-19,Computershare,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20260619/pdf/070t83jplz4wpz.pdf
3DA,3DA,2026-06-17,Automic,Computershare,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260617/pdf/070q3tgcht0zzf.pdf
AUV,AUV,2026-05-29,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260529/pdf/0703c8rm4qfk5z.pdf
CAA,CAA,2026-05-29,Computershare,Automic,Details of Share Registry address,address_only,two_brands,https://announcements.asx.com.au/asxpdf/20260529/pdf/0702s4pmkl3bw2.pdf
FG1,FG1,2026-05-26,Computershare,Boardroom,Change of Share Registry Provider,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260526/pdf/06zyzfc5cf3pn6.pdf
RF1,RF1,2026-05-25,MUFG Corporate Markets,Automic,RF1 change of unit registry 25.5.26,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20260525/pdf/06zxmpzygnz19m.pdf
ARI,ARI,2026-05-22,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260522/pdf/06zw11cn0m8dk6.pdf
M3M,M3M,2026-05-15,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260515/pdf/06zmbglr8rs3rh.pdf
MTS,MTS,2026-05-15,Boardroom,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260515/pdf/06zmxshb3mwpd6.pdf
LCY,LCY,2026-04-24,Automic,Computershare,Details of Share Registry address,address_only,from_to,https://announcements.asx.com.au/asxpdf/20260424/pdf/06yv1hkd0719f2.pdf
COY,COY,2026-04-17,Boardroom,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20260417/pdf/06ylxdq067b6ds.pdf
BGE,BGE,2026-04-14,Automic,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260414/pdf/06yggyjzwfxxl3.pdf
UNT,UNT,2026-04-13,Boardroom,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260413/pdf/06ydwkx59x7s0s.pdf
NRX,NRX,2026-04-10,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20260410/pdf/06ybkqj21ft2xh.pdf
OSL,OSL,2026-04-10,Boardroom,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260410/pdf/06ybx46q34zhpd.pdf
EXL,EXL,2026-03-30,Automic,Boardroom,Change of Share Registrar,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260330/pdf/06xyn9rkj0zp8h.pdf
NAE,NAE,2026-03-27,MUFG Corporate Markets,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwlfjkc0p274.pdf
PKY,PKY,2026-03-27,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xx038jr6sttv.pdf
RCM,RCM,2026-03-27,Boardroom,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xvw5gcqt3vcp.pdf
SNG,SNG,2026-03-23,Automic,Computershare,Change of Share Registry,provider_change,one_brand+prior_doc,https://announcements.asx.com.au/asxpdf/20260323/pdf/06xqfwyr91zyvf.pdf
AKN,AKN,2026-03-20,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260320/pdf/06xmy4p5mv0rxs.pdf
PAB,PAB,2026-03-13,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260313/pdf/06xdxscsx1yhdq.pdf
ORP,ORP,2026-02-27,Boardroom,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260227/pdf/06wvmzk5pmj8rk.pdf
ABV,ABV,2026-02-17,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260217/pdf/06wcw5pv7mlgnj.pdf
MGT,MGT,2026-02-13,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260213/pdf/06w8qx77fkk9kv.pdf
MX1,MX1,2026-02-13,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260213/pdf/06w8q2kb27v353.pdf
XST,XST,2026-02-05,Automic,Boardroom,Notification of Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260205/pdf/06vzym96rfxy03.pdf
BFG,BFG,2026-01-16,Computershare,Automic,Change of share registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260116/pdf/06vbd63xbk0f8c.pdf
CAE,CAE,2026-01-16,Boardroom,Xcend,Change of Share Registry Details,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20260116/pdf/06v9s8tgfdvsh8.pdf
POD,POD,2026-01-16,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260116/pdf/06vbckcjgkv0pc.pdf
ADS,ADS,2026-01-15,Computershare,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20260115/pdf/06v90s5g8lp4gp.pdf
AAM,AAM,2025-12-08,Automic,Computershare,AuMEGA Metals Announces Capital Market Changes,registry_other,from_to,https://announcements.asx.com.au/asxpdf/20251208/pdf/06t2mdm7g7cx1k.pdf
DAI,DAI,2025-12-08,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251208/pdf/06t23pcbx4nhs1.pdf
IND,IND,2025-12-05,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20251205/pdf/06sz6835757354.pdf
FGH,FGH,2025-12-04,MUFG Corporate Markets,Boardroom,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251204/pdf/06sxyhh0bhhn8y.pdf
IMC,IMC,2025-12-04,Automic,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251204/pdf/06sxxfrdl6bspn.pdf
EFE,EFE,2025-11-28,Automic,Computershare,Change of share registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20251128/pdf/06snpzyz0crqgv.pdf
