old_code,current_code,old_last_seen,current_first_seen,announcements,old_code_relisted
LCT,1AI,2023-03-06,,2,0
AJM,1MC,2010-06-18,,1,0
HDN,1MC,2007-01-22,,1,1
SOI,3DP,2010-08-03,2024-02-29,1,0
FRY,4DS,2014-08-04,,1,0
MLB,5GN,2014-02-27,2025-08-01,2,0
DVM,88E,2008-08-12,2023-09-14,1,0
TPT,88E,2011-11-28,2023-09-14,1,0
IAU,A1M,2015-01-21,2023-09-06,5,0
NMC,A1M,2005-08-05,2023-09-06,1,0
APN,A1N,2008-03-17,,2,0
AUK,A4N,2014-12-10,2024-05-23,2,0
MZZ,AAM,2018-12-17,2025-12-08,1,0
EVG,AAU,2010-01-28,2021-08-16,2,1
SEQ,AAU,2004-09-07,2021-08-16,1,1
ABP,ABG,2009-05-26,,1,0
BYH,ABR,2022-12-09,,1,0
NMG,ACF,2016-02-09,2018-09-24,1,1
LMW,ACU,2017-08-30,,2,0
ANH,ADS,2006-09-22,2026-01-15,2,0
EQS,AEG,2022-11-01,,1,0
COE,AEL,2014-07-01,,1,0
ABQ,AEU,2013-02-14,,1,0
DVI,AEU,2014-06-25,,1,0
TI1,AEU,2021-02-19,,1,0
MAK,AEV,2010-02-25,2022-07-11,1,0
CSY,AFA,2005-11-08,,1,0
NAV,AFL,2016-10-10,2019-09-27,2,0
ERD,AHE,2011-07-22,,2,1
APP,AHF,2012-09-24,,1,0
DC2,AI1,2023-08-04,2024-08-22,1,0
SRQ,AIS,2014-06-19,2021-12-13,1,0
ETW,AJX,2005-01-17,2017-09-08,1,0
CYU,AKN,2009-12-11,2026-03-20,2,0
EMS,ALA,2008-04-04,2022-05-27,1,0
SUD,ALA,2014-04-22,2022-05-27,1,0
CTX,ALD,2019-12-16,2022-05-10,2,0
AFR,ALM,2014-06-23,,2,0
CHK,ALR,2019-08-09,,1,0
SEG,AMD,2014-04-24,2024-03-01,1,1
GRM,AMN,2011-12-16,2015-01-20,1,0
GTR,AMU,2022-11-14,,3,0
CDY,AN1,2017-09-25,,2,0
MTY,AN1,2007-04-12,,1,0
AOC,AOK,2014-08-14,,1,0
SGC,AOK,2021-04-12,,1,1
GUD,AOV,2012-07-17,,1,0
PXL,APL,2006-02-10,2025-04-16,1,0
CUU,AQX,2010-03-01,,1,0
TDI,ARC,2007-12-03,2022-11-02,1,0
MCT,ARI,2016-05-02,2026-05-22,1,0
PTS,ARO,2011-09-26,,1,0
VAR,ARO,2025-01-10,,1,0
